pilot,z_A,lvhar_potential_eV,mean_electron_density_e_per_A3
A1,1.0896243703703705,2.8093354580950582,-2.652260184632588e-06
A1,1.1577258935185186,2.8093399871824616,-2.6710471822131535e-06
A1,1.2258274166666667,2.809392351034789,-2.679009557810229e-06
A1,1.2939289398148148,2.80940146302178,-2.679691639300824e-06
A1,1.362030462962963,2.809458241519994,-2.674311201150976e-06
A1,1.4301319861111113,2.80947196022787,-2.66122506328434e-06
A1,1.4982335092592594,2.8095331134801023,-2.636873608100207e-06
A1,1.5663350324074075,2.8095514148629137,-2.597551935257958e-06
A1,1.6344365555555556,2.809616811086415,-2.5414273887615506e-06
A1,1.7025380787037037,2.809639543300446,-2.469802018933419e-06
A1,1.770639601851852,2.809708970279942,-2.386465893306104e-06
A1,1.838741125,2.8097359309174115,-2.2952805038425686e-06
